商品名稱,選項,供應商,分類,商品貨號,商品條碼,商品原價,商品特價,實體店價格,會員價,銅級會員價,銀級會員價,金級會員價,批發商戶價,商品成本,預設倉庫,尖沙咀門市,網店倉庫【主庫存】,深水埗門市,HKTV 獨立庫存,庫存總量,總成本
"SKYN Selection 精選雜錦 PI安全套 12片裝 - Original , Elite, Elite Extra Lube, Excitation",,DIS,,,070907000175,198.0,0.0,,0.0,0.0,0.0,0.0,80.0,60.0,11,0,0,0,0,11,660.0
情人節禮盒,,,,WD0002550,06780640,35.0,,,,,,,,30.0,0,0,0,0,0,0,0.0
Je Joue Vita Bullet,顏色: 鈷藍色,,,WD0002548,5060170972663,648.0,,,,,,,,260.0,0,0,0,0,0,0,0.0
Je Joue Vita Bullet,顏色: 西瓜粉,,,WD0002549,5060170972656,648.0,,,,,,,,260.0,0,0,0,0,0,0,0.0
Je Joue Duet Bullet,顏色: 淺紫色,,,WD0002546,5060170972649,648.0,,,,,,,,260.0,0,0,0,0,0,0,0.0
Je Joue Duet Bullet,顏色: 紫色,,,WD0002547,5060170972632,648.0,,,,,,,,260.0,0,0,0,0,0,0,0.0
Je Joue Amour Bullet,顏色: 翡翠綠,,,WD0002544,5060170972670,648.0,,,,,,,,260.0,0,0,0,0,0,0,0.0
Je Joue Amour Bullet,顏色: 淡玫瑰,,,WD0002545,506170972687,648.0,,,,,,,,260.0,0,0,0,0,0,0,0.0
【情人節限定預購】浪漫愛神維納斯套裝 (女女),,,,,WD0002529,1314.0,0.0,,0.0,,,,,0.0,0,0,0,0,0,0,0.0
【情人節限定預購】浪漫愛神維納斯套裝 (男男),Condom尺寸: Standard 標準,,,,85203591,1314.0,0.0,,0.0,,,,,0.0,0,0,0,0,0,0,0.0
【情人節限定預購】浪漫愛神維納斯套裝 (男男),Condom尺寸: Large 大,,,,53023459,1314.0,0.0,,0.0,,,,,0.0,0,0,0,0,0,0,0.0
【情人節限定預購】浪漫愛神維納斯套裝 (男女情侶),Condom尺寸: Standard 標準,,,,48748093,1314.0,0.0,,0.0,,,,,0.0,0,0,0,0,0,0,0.0
【情人節限定預購】浪漫愛神維納斯套裝 (男女情侶),Condom尺寸: Large 大,,,,28154046,1314.0,0.0,,0.0,,,,,0.0,0,0,0,0,0,0,0.0
【情人節限定預購】浪漫愛神邱比特套裝 (女女),,,,,WD0002526,520.0,0.0,,0.0,,,,,0.0,0,0,0,0,0,0,0.0
【情人節限定預購】浪漫愛神邱比特套裝 (男男),Condom尺寸: Standard標準,,,,11863693,520.0,0.0,,0.0,,,,,0.0,0,0,0,0,0,0,0.0
【情人節限定預購】浪漫愛神邱比特套裝 (男男),Condom尺寸: Large大,,,,03167185,520.0,0.0,,0.0,,,,,0.0,0,0,0,0,0,0,0.0
【情人節限定預購】浪漫愛神邱比特套裝 (男女情侶),Condom尺寸: Standard 標準,,,,91766932,520.0,,,,,,,,0.0,0,0,0,0,0,0,0.0
【情人節限定預購】浪漫愛神邱比特套裝 (男女情侶),Condom尺寸: Large 大,,,,80449319,520.0,,,,,,,,0.0,0,0,0,0,0,0,0.0
SN-648 女僕繫帶連衣裙,顏色: 紅色,,,,37920300,188.0,0.0,,0.0,,,,,38.0,0,0,0,0,0,0,0.0
SN-648 女僕繫帶連衣裙,顏色: 黑色,,,,68020029,188.0,0.0,,0.0,,,,,38.0,0,0,0,0,0,0,0.0
SN-8014 連體全身內衣 黑色,,,,,62549805,88.0,0.0,,0.0,,,,,12.0,0,0,0,0,0,0,0.0
SN-8062 連體全身內衣  黑色,,,,SN-8062,34046099,88.0,0.0,,0.0,,,,,17.0,0,0,0,0,0,0,0.0
SN-8067 連體全身內衣 黑色,,,,,52190737,88.0,0.0,,0.0,,,,,15.0,0,0,0,0,0,0,0.0
SN-8068 蕾絲裙 白色,,,,,25120795,88.0,0.0,,0.0,,,,,14.0,0,0,0,0,0,0,0.0
SN-138 珍珠開襠內褲 黑色,,,,,19899532,48.0,0.0,,0.0,,,,,0.0,0,0,0,0,0,0,0.0
SN-399 丁字褲連兔尾 (黑色/白色),顏色: 白色,,,,30823562,48.0,0.0,,0.0,,,,,7.0,0,0,0,0,0,0,0.0
SN-399 丁字褲連兔尾 (黑色/白色),顏色: 黑色,,,,50387224,48.0,0.0,,0.0,,,,,7.0,0,0,0,0,0,0,0.0
SN-195 丁字褲 (黑色 /紅色),顏色: 黑色,,,,50597184,68.0,0.0,,0.0,,,,,7.0,0,0,0,0,0,0,0.0
SN-195 丁字褲 (黑色 /紅色),顏色: 紅色,,,,14963464,68.0,0.0,,0.0,,,,,7.0,0,0,0,0,0,0,0.0
Womany 女人迷 關係下一步卡牌,,,,WD0002542,4719678749958,408.0,,,,,,,,265.0,4,0,0,0,0,4,1060.0
Toysheart 有線震蛋 黑色,,,,WD0002492,4526374226434,268.0,,,,,,,,120.0,5,0,0,0,0,5,600.0
Toysheart 無線震蛋 桃紅色,,,,WD0002496,4526374226427,198.0,,,,,,,,78.0,5,0,0,0,0,5,390.0
Toysheart Premium SI-X Ultra 飛機杯,,,,WD0002497,4526374213359,168.0,,,,,,,,53.18,4,0,0,0,0,4,212.72
Toysheart 超彈力透明 仿真陽具按摩棒 中碼,,,,WD0002497,4526374227103,138.0,,,,,,,,48.0,5,0,0,0,0,5,240.0
Toysheart 超強吸力 超真實假陽具按摩棒 (M/L),尺寸: M,,,WD0002499,4526374227066,168.0,,,,,,,,65.0,6,0,0,0,0,6,390.0
Toysheart 超強吸力 超真實假陽具按摩棒 (M/L),尺寸: L,,,WD0002498,4526374227073,168.0,,,,,,,,65.0,6,0,0,0,0,6,390.0
Magic Eyes 純潔創世記之蘿莉子 動漫名器飛機杯 硬版,,,,WD0002500,4571324243399,178.0,,,,,,,,70.0,6,0,0,0,0,6,420.0
Magic Eyes 純潔創世記之蘿莉子 動漫名器飛機杯,,,,WD0002501,4571324243405,178.0,,,,,,,,70.0,6,0,0,0,0,6,420.0
Magic Eyes 純潔創世記之蘿莉子 動漫名器飛機杯 軟版,,,,WD0002502,4571324243412,178.0,,,,,,,,70.0,6,0,0,0,0,6,420.0
ToysHeart 錬金術師的特濃錬成潤滑液 600ml,,,,WD0002503,4526374259135,168.0,,,,,,,,53.18,5,0,0,0,0,5,265.9
ToysHeart 女孩發育測定 動漫名器飛機杯,,,,WD0002518,4526374513336,618.0,,,,,,,,266.0,1,0,0,0,0,1,266.0
DAYDREAM 太可愛的校服套裝 咖啡拿鐵色,,,,WD0002519,4573126278753,248.0,,,,,,,,102.0,0,0,0,0,0,0,0.0
DAYDREAM 別緻的魚網紋丁字褲 (黑色/白色),顏色: 黑色,,,WD0002535,4573126278890,98.0,,,,,,,,30.0,0,0,0,0,0,0,0.0
DAYDREAM 別緻的魚網紋丁字褲 (黑色/白色),顏色: 白色,,,WD0002536,4573126278906,98.0,,,,,,,,30.0,0,0,0,0,0,0,0.0
MAX-A The Max 蜜穴 最上一花 素人名器飛機杯,,,,WD0002537,4570015601012,228.0,,,,,,,,72.0,0,0,0,0,0,0,0.0
