Product ID (DO NOT EDIT),Product Name (English),Product Name (Traditional Chinese),Product Summary (English),Product Summary (Traditional Chinese),SEO Title (English),SEO Title (Traditional Chinese),SEO Description (English),SEO Description (Traditional Chinese),SEO Keywords,Hidden Product,Preorder Product,Preorder Note (English),Preorder Note (Traditional Chinese),Status,Brand,Hide Price,Regular Price,Sale Price,Product Retail Store Price,Member Price,Bronze Member Price,Silver Member Price,Gold Member Price,批發商戶 Price,Unlimited Quantity,Same Price,Product Cost,SKU,Quantity (DO NOT EDIT),Update Quantity (e.g. +5 or -8),Weight(KG),Supplier,Product Tag,Variant ID (DO NOT EDIT),Variant (English) (DO NOT EDIT),Variant (Traditional Chinese) (DO NOT EDIT),Variant Quantity (DO NOT EDIT),Update Variant Quantity (e.g. +5 or -8),Variant Price,Variant Sale Price,Variant Retail Store Price,Variant Member Price,Variant Bronze Member Price,Variant Silver Member Price,Variant Gold Member Price,Variant 批發商戶 Price,Variant Cost,Variant Weight(KG),Variant SKU,Location ID,MPN,Barcode,SL_STOCK_ID(DO NOT EDIT),Warehouse(DO NOT EDIT),SL_KEY0(DO NOT EDIT),SL_KEY1(DO NOT EDIT)
商品編號 （切勿更改),商品名稱 (英文),商品名稱 (繁體中文),商品摘要 (英文),商品摘要 (繁體中文),SEO標題 (英文),SEO標題 (繁體中文),SEO簡介 (英文),SEO簡介 (繁體中文),SEO關鍵字,隱藏商品,預購商品,預購提示 (英文),預購提示 (繁體中文),上架狀態,商品品牌,隱藏價格,商品原價,商品特價,實體店價格,商品會員價,銅級會員價,銀級會員價,金級會員價,批發商戶價,無限數量,價格一致,商品成本,商品貨號,數量 (參考用，請勿修改),增減數量 (例: +5 或 -8),重量(公斤),供應商,商品管理標籤,款式編號 （切勿更改),款式 (英文) (勿更改),款式 (繁體中文) (勿更改),款式數量 (參考用，請勿修改),增減款式數量 (例: +5 或 -8),款式價格,款式特價,款式實體店價格,款式會員價,款式銅級會員價,款式銀級會員價,款式金級會員價,款式批發商戶價,款式成本,款式重量(KG),款式貨號,儲位編號,製造編號,商品條碼編號,庫存參照值(切勿更改),出貨倉庫(參考用，請勿修改),商品名稱參照值0(切勿更改),商品名稱參照值1(切勿更改)
63b4f844c16f58001afd9b5c,lubets Mix 7-Pack,lubets 天然有機隨身片綜合包,,,lubets Mix 7-Pack,lubets 天然有機隨身片綜合包,"This pack includes the full range of Lubets lubricants, orgasm enhancers, and massage oils.A total of 7 sample size products designed to give you a taste of absolutely everything we have to offer.7 Lubets, 7 colors, 7 unique ways ",來自西班牙的品牌lubets，彈指之間，享受愉悅。單片份量，給你剛剛好的快樂。最熱銷的隨身片綜合包，一包帶走lubets全系列天然產品，想要體驗從前戲到主菜的快感？綜合包給你剛剛好的份量，足夠你一夜纏綿。隨身片綜合包內含：⊛ 水性潤滑液⊛ 溫感水性潤滑液⊛ 油性潤滑液⊛ 女士高潮提升液⊛ 男士高潮提升液⊛ 男士延時凝膠⊛ 暖感按摩油⊛ 成份天然低敏⊛ 各款一片，共七片；4ml x 7片⊛ 西班牙製造            ,,N,N,,,Y,lubets,N,158,0,,0,0,0,0,0,N,,79,WD0002481,3,+0,1,,,,,,,,,,,,,,,,,,,LB_MIXPACK_7EN,,8436586760298,63b4f845c16f58001afd9b63,Primary,442c5b66efab2f258e7efb1b4f66b87a,c3dac15e0a530f91dbf810716d6e4425
63b5474dc975f2000ea4c5c1,Sistalk Monster Pub Magic Kiss Charging Stand,Sistalk 小怪獸 魔吻專用充電座,,,Sistalk Monster Pub Magic Kiss Charging Stand,Sistalk 小怪獸 魔吻專用充電座,,,,N,Y,,,Y,Sistalk,N,80,0,,0,0,0,0,0,N,,40,WD0002488,0,+0,1,,,,,,,,,,,,,,,,,,,,,35306544,63b5474dc975f2000ea4c5c6,Primary,e04508f96884c12182eb591d259e9855,7798cad6fe4bf072781042662f0e9960
63b63791566f98001383bd8d,TENGA LED LIGHT PREMIUM VACUUM LIGHT,TENGA LED LIGHT 夜燈 PREMIUM VACUUM LIGHT,,,TENGA LED LIGHT PREMIUM VACUUM LIGHT,TENGA LED LIGHT 夜燈 PREMIUM VACUUM LIGHT,Spend the night with the sparkling TENGA.10th Anniversary Limited EditionThe sparkling TENGA that lights up the night is finally here!The popular TENGA has become the perfect LED light for your interior.Spend a late night with the,與閃耀的 TENGA 共度深夜。十周年限量特別版照亮夜晚的閃耀 TENGA 終於來了！廣受歡迎的TENGA 已成為您室內裝飾的完美 LED 燈。與發光的 TENGA 一起度過一個深夜。產品尺寸：長69×寬69×高155 (mm/公厘)產品重量：95g維持時間：約12小時附送：3A 電 x 2,,N,N,,,N,TENGA,N,119,0,,0,0,0,0,0,N,,59.77,WD0002489,0,+0,1,,,,,,,,,,,,,,,,,,,,,4560220556085,63b63792566f98001383bd92,Primary,f9792e7d4e46267d5050143795e145ea,db9df305e1dcd714c71117bf4bdc31e3
63b65227eb9fed0020588c4e,Monster Pub 2 Remote Vibrators Dr. Whale (Excited/Premium Version),小怪獸2 鯨魚博士 (青春版/健康版),,小怪獸是全球首款智能互動感應女生玩具。小怪獸2代為照顧女孩的內外 GC 重點而全身進化，獨有的頭尾雙馬達環繞立體震模式( Stereo Waves™ )，來回環繞穿梭帶來超乎想像的3D立體震感。App超時空遙控功能，再遠的問題都能指尖解決，台北在遙控，巴黎在震動！ 智能加溫功能，為妳用心準備剛剛好的溫度。,Monster Pub 2 Remote Vibrators Dr. Whale (Excited/Premi,小怪獸2 鯨魚博士 (健康版),,風靡中、日、韓、台，在台灣大賣過百萬台的小怪獸， 終於正式登陸香港了！ 由包裝、外觀、功能，100%真正為女生而設計的品牌， 為妳帶來可愛的惡魔先生、鯨魚博士、哥斯拉大師， 希望讓女生能放膽談性、探索自己，成為一個更自信美麗的妳～  小怪獸2代在設計、功能上均有大幅度躍進， 採用人體工學U型設計，貼服地同時按摩G點、C點， 獨創環繞立體震，兩邊的震動器給妳最有感的按摩， 每次喚醒小怪獸，它都能給妳42°C的暖心體驗，帶來最溫暖的陪伴～  市面上功能最完備好,"小怪獸2 鯨魚博士,小怪獸2鯨魚博士,小怪獸鯨魚,小怪獸青春版,小怪獸健康版",N,N,,,Y,SISTALK 小怪獸,N,868,0,,0,0,0,0,0,N,N,334.17,WD0002106,11,,1,,,63b65756c2ce050023f5a9a7,,健康版,3,+0,868,0,,0,0,0,0,0,445,1,WD0002106,mp2-b-y,,6971668340385,63b65756c2ce050023f5a9b0,Primary,06ee5e9391bdcf17714f29517c306b9d,6cec2b54a0f24e28c264c9e52cb6feec
63b65227eb9fed0020588c4e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63b65756c2ce050023f5a9a8,,青春版,0,+0,658,0,,0,0,0,0,0,326,1,WD0002107,mp2-b-y,,6971668340781,63b65756c2ce050023f5a9b5,Primary,43e38b213f8c64e682f86e97e4d45cdd,85bef6c0aea2c682cbfd99a9645f2af0
63b7a92ba1a03c0023fc276a,Mystery Bag Men Series (Deluxe/Standard/Starter),【幸運福袋】男士系列 (高價版/低價版/初階版),,"男士系列幸運福袋保證總值至少7折。

初階版$188 男士玩具 x1 (有機會得到Arcwave Ghost  + ROMP Mosh BJ 透明飛機杯) 
入門版$388: 男士玩具 x1 (有機會得到Arcwave Pow 吸力控制自慰器) 
豪華版$688: 男士玩具 x1 (有機會得到Boners 震動模擬口交自慰器)

*此商品不適用於即日門市自取的送貨方式。",Mystery Bag Men Series (Deluxe/Standard/Starter),【幸運福袋】男士系列 (高價版/低價版/初階版),,保證總值至少7折,,N,N,,,Y,,N,688,0,,0,0,0,0,0,N,N,0,,0,,1,,,63bbaa1aab3289001a6aa537,,高價版,0,+0,688,0,,0,0,0,0,0,0,1,,,,WD0002490,63bbaa1aab3289001a6aa540,Primary,30fdb042b49c2266db55957feeb56148,e8358dbb223f550d165f314ceb6cfbf0
63b7a92ba1a03c0023fc276a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63bbaa1aab3289001a6aa538,,低價版,0,+0,388,0,,0,0,0,0,0,0,1,,,,WD0002491,63bbaa1aab3289001a6aa545,Primary,b3ed85890de3836b0ce88ee71d9fa4dd,bbb66a913cc9e80c3dca57c0e6f39801
63b7a92ba1a03c0023fc276a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63bd36762359b7000e8405bb,,初階版,0,+0,188,0,,0,0,0,0,0,0,1,,,,WD0002522,63bd36772359b7000e8405c0,Primary,5e72e89619963e8f532ea99cab8f98cb,99d38160aecf45410214bc208b7fd0d8
63b7aa4f0583490017e1ce94,Mystery Bag Female Series (Deluxe/Standard/Starter),【幸運福袋】女士系列 (高價版/低價版/初階版),,"女士系列幸運福袋保證總值至少7折。

初階版$188: 女士玩具 x1 (有機會得到ROMP Beat 子彈形按摩棒) 
低價版$388: 女士玩具 x1 (有機會得到SISTALK 小怪獸 溫熱兔子G點怪獸棒 惡魔先生 粉紅色) 
高價版$688: 女士玩具 x1 (有機會得到Je Joue Juno G點震動按摩棒 (紫色/粉紅色/黑色))

*此商品不適用於即日門市自取的送貨方式。",Mystery Bag Female Series (Deluxe/Standard/Starter),【幸運福袋】女士系列 (高價版/低價版/初階版),,保證總值至少7折,,N,N,,,Y,,N,688,0,,0,0,0,0,0,N,N,0,,-1,,1,,,63bbac84c92900000e53dfe2,,高價版,0,+0,688,0,,0,0,0,0,0,0,1,,,,WD0002492,63bbac84c92900000e53dfeb,Primary,d6a6c142bf46ace6d652a25d18f1c3e8,7690a253b7be9ec121553be9b7bbe6a7
