Product ID (DO NOT EDIT),Product Name (English),Product Name (Traditional Chinese),Product Summary (English),Product Summary (Traditional Chinese),SEO Title (English),SEO Title (Traditional Chinese),SEO Description (English),SEO Description (Traditional Chinese),SEO Keywords,Hidden Product,Preorder Product,Preorder Note (English),Preorder Note (Traditional Chinese),Status,Brand,Hide Price,Regular Price,Sale Price,Product Retail Store Price,Member Price,Bronze Member Price,Silver Member Price,Gold Member Price,Unlimited Quantity,Same Price,Product Cost,SKU,Quantity (DO NOT EDIT),Update Quantity (e.g. +5 or -8),Weight(KG),Supplier,Product Tag,Variant ID (DO NOT EDIT),Variant (English) (DO NOT EDIT),Variant (Traditional Chinese) (DO NOT EDIT),Variant Quantity (DO NOT EDIT),Update Variant Quantity (e.g. +5 or -8),Variant Price,Variant Sale Price,Variant Retail Store Price,Variant Member Price,Variant Bronze Member Price,Variant Silver Member Price,Variant Gold Member Price,Variant Cost,Variant Weight(KG),Variant SKU,Location ID,MPN,Barcode,SL_STOCK_ID(DO NOT EDIT),Warehouse(DO NOT EDIT),SL_KEY0(DO NOT EDIT),SL_KEY1(DO NOT EDIT)
商品編號 （切勿更改),商品名稱 (英文),商品名稱 (繁體中文),商品摘要 (英文),商品摘要 (繁體中文),SEO標題 (英文),SEO標題 (繁體中文),SEO簡介 (英文),SEO簡介 (繁體中文),SEO關鍵字,隱藏商品,預購商品,預購提示 (英文),預購提示 (繁體中文),上架狀態,商品品牌,隱藏價格,商品原價,商品特價,實體店價格,商品會員價,銅級會員價,銀級會員價,金級會員價,無限數量,價格一致,商品成本,商品貨號,數量 (參考用，請勿修改),增減數量 (例: +5 或 -8),重量(公斤),供應商,商品管理標籤,款式編號 （切勿更改),款式 (英文) (勿更改),款式 (繁體中文) (勿更改),款式數量 (參考用，請勿修改),增減款式數量 (例: +5 或 -8),款式價格,款式特價,款式實體店價格,款式會員價,款式銅級會員價,款式銀級會員價,款式金級會員價,款式成本,款式重量(KG),款式貨號,儲位編號,製造編號,商品條碼編號,庫存參照值(切勿更改),出貨倉庫(參考用，請勿修改),商品名稱參照值0(切勿更改),商品名稱參照值1(切勿更改)
61b6e72d9a59fc001aae28d1,NPG Pure Meiki Ichika Matsumoto,NPG 名器純情 松本一香 女優名器飛機杯,,,NPG Pure Meiki Ichika Matsumoto,NPG 名器純情 松本一香 飛機杯,Japanese porn star Ichika Matsumoto is immensely popular for her pure schoolgirl looks and this NPG - Pure Meiki Ichika Matsumoto pays tribute to her virginal charms. So much so that the onahole includes a hymen to ensure you alwa,NPG - 名器純情 松本一香 (松本いちか)，以一副嬌嫩的肉體作為藍本，純情、潔淨、完壁！以非常柔軟的物料打造，給你真實的插入體驗！產品重達700克，以確保肉感十足，插入長也達11cm，能完整包裹你的巨龍。造型設計也極之真實，入口如同未開發的小花蕾，非常緊窄、迫真！內部通道設有大量的吸盤突起物和巨型的肉塊，加強磨擦感覺，做出緊窄的效果。而末端則有小小的子宮口，入口需小但卻能讓你感覺到壓迫龜頭的快感！產品詳情款式：陰道通道：非貫通內層：雙層構造軟硬度：軟身,"NPG 名器純情松本一香飛機杯, NPG-名器純情-松本一香, 名器純情松本一香, NPG 名器純情松本一香(松本いちか),",N,N,,,Y,NPG,N,560,0,,0,0,0,0,N,,280,OH-2878,0,+0,1,,,,,,,,,,,,,,,,,,,,4562160138512,61b6e72d9a59fc001aae28d6,Primary,7d5c6312e3007192843f7e254c4a7acf,1f016de1e317e8e2cc8601ae83ce17da
61b7032fed1ae6001184182d,NPG Pure Love Juices Ichika Matsumoto 80ml,NPG 純情淫液 松本一香 淫臭潤滑液 80ml,,,NPG Pure Love Juices Ichika Matsumoto 80ml,NPG 純情淫液 松本一香 淫臭潤滑液 80ml,She looks pure and innocent - but don't be fooled. Ichika Matsumoto is incredibly horny and ready for action. The NPG - Pure Love Juices Ichika Matsumoto bottles up her wet pussy and provides the perfect accompaniment for masturba,NPG - 純情淫液 松本一香 (松本いちか) 淫臭潤滑油 80ml，是一款專門為名器純情 松本一香 (松本いちか) 而製的水性潤滑油，一併使用能大大增強真實感覺！帶有一點點愛液的氣味喔～產品詳情性質：水溶性黏度：高氣味：愛液味顏色：透明食用：不能食用容量：80ml進口國：日本,"NPG-純情淫液松本一香-80ml, NPG 純情淫液 松本一香 80 毫升, NPG  純情淫液松本一香(松本いちか) 淫臭潤滑油80ml,",N,N,,,Y,NPG,N,38,0,,0,0,0,0,N,,15,LT-1629,0,+0,1,,,,,,,,,,,,,,,,,,,,4571165966464,61b7032fed1ae60011841832,Primary,a282cb7ba19df929f9541ebe36718a4a,c222e06dd7a7a7c2e3c2101035fc3654
61b70864103f0d0023dff3f1,SB Couples Lingerie Set FA027/FM114 Black,SB 情侶內衣套裝 FA027/FM114 黑色,,,SB Couples Lingerie Set FA027/FM114 Black,SB 情侶內衣套裝 FA027/FM114 黑色,"Size: One SizeBrand: S-BabyCountry: ChinaCouple's Wear: Three-point Rope BodiesMaterial: Stretch swimwear.Contains: Jumpsuit. Fabric: 90% nylon, 10% spandex.Women's clothing length 46CM, women's trousers waist 64-92CM, women's wei",尺寸：均碼品牌: S-Baby產地：中國情侶裝：三點繩體材質：彈力泳衣包含：連身衣面料：90% 尼龍，10% 氨綸。女裝衣長46CM，女褲腰圍64-92CM，女裝體重30G男裝衣長56CM，男裝30G所有體型都可以穿,"購買SB - 情侶內衣套裝- 黑色,",N,N,,,Y,S-Baby,N,168,118,,0,0,0,0,N,,21,FA027-FM114-BLK,4,+0,1,,,,,,,,,,,,,,,,,,,,76736450,61b70865103f0d0023dff3f7,Primary,a4507b2ce1e22dfea6d15ff43880e7d9,498f184ccf52f8093d368f636e44c6bc
61b70a73542a670023835a4d,SB-359 Lace Teddy with Tail Black,SB-359 蕾絲連體內衣連兔尾 黑色,,,SB Lace Teddy with Tail SB-359 Black,SB 蕾絲連體內衣連兔尾 SB-359 黑色,Gentle lace bunny set including teddy and earsSize: MBrand: S-BabyCountry: China,溫柔的蕾絲兔子套裝尺碼: M品牌: S-Baby國家: 中國,"SB 蕾絲連體內衣連兔尾 - 黑色,",N,N,,,Y,S-Baby,N,198,0,,0,0,0,0,N,,0,SB-359,1,+0,1,,,,,,,,,,,,,,,,,,,,50028552,61b70a74542a670023835a53,Primary,de0de743759f11b8ae9600b0f29ba9fd,05d1dfd159178bd3d8b0816dd2ef9ebf
61b712522fcb14002c9aad0f,NPG Eimi Fukada Raw Peach Butt Meiki,NPG 雙穴 生桃尻 深田詠美 女優名器飛機杯,,,NPG Eimi Fukada Raw Peach Butt Meiki,NPG 雙穴 生桃尻 深田詠美 女優名器,"The realistically hefty Eimi Fukada Raw Peach Butt gives you the JAV porn star's peach butt in all its shapely glory, sticking up in the air for you to grab and fuck to your heart's content. There are two holes to enjoy here: a sh","模仿超人氣女優深田詠美的桃尻，以3.1kg的肉感打造雙穴 生桃尻 深田詠美，肉穴以無數的縱肉紋模擬入口的膣肉幼嫩感，G點的大肉輪壓著你的巨龍頭配合凸起大肉粒，讓你如同坐過山車一般，大上插大下插，最後全肉粒的大包圍留下你的精液，讓你知道深田詠美的厲害，肛門採用幼細的圈狀紋模擬直腸，讓你感受和肉穴完全相反的感覺，不勝枚舉的肉排如同肛門肉壁一般，緊繃著阻止你馴化她，用你的大肉棒深深地插入，去征服她，去馴化她吧！！！產品詳情款式：陰道, 後庭, 雙穴通道：非貫通內","NPG - 雙穴 生桃尻 深田詠美 (2穴 生桃尻 深田えいみ), NPG 雙穴 生桃尻 深田詠美 (2穴 生桃尻 深田えいみ),",N,N,,,Y,NPG,N,1180,0,,0,0,0,0,N,,545,006756,0,+0,4,,,,,,,,,,,,,,,,,,,,4562160138543,61b712532fcb14002c9aad14,Primary,a3f8d49506e6c293efbcfed7024146b5,6f003e1d97aee62fdd3868b9f6f4cb03
61b7202963935b001173009b,Erocome Libra Wireless Sucking Clitoral Stimulator Pink,Erocome Libra 天秤座 無線吸啜器 粉紅色,,,Erocome Libra,Erocome Libra 天秤座 無線吸啜器 粉紅色,"Product Features Delicate realistic tulip flower shape 10 sucking modes to explore  Body-safe silicone with silky smooth surface  Quick switch on/off; simple operation  Waterproof for more possibilities  Powerful, quiet and long-l",產品特色 精緻逼真的鬱金香花形 10 種吮吸模式等你探索  具有絲般光滑表面的人體安全矽膠  快速開關機，操作簡單  防水，更多可能  動力強勁、安靜且經久耐用的電機  帶磁性充電底座  產品詳情 顏色：粉紅色 尺寸：88 x 60mm 重量：117.5g 電源：鋰聚合物電池 USB充電 充電時間：1.5小時 使用時間：長達2小時 震動模式：10頻 防水,"Erocome - 天秤座 無線吸吮器 - 粉色 成人用品 情趣用品 性用品 女士用品, Erocome - Libra Wireless sucking pink sex toys adult toys vibrator, 【伊珞伊珞EROCOME静音吮吸跳蛋粉色】,",N,N,,,Y,Erocome,N,388,0,,0,0,0,0,N,,190.69,,2,+0,1,,,,,,,,,,,,,,,,,,,,6970308350784,61b7202963935b00117300a0,Primary,36cfcb73168ef961a01850843ed51995,f06dcf786025e73cc19b32f976f7d079
61b73eca8e8ea0001a3fd860,SN-026 Highschool teens love,SN-026 青澀初戀,,,SN-026 Highschool teens love,SN-026 青澀初戀,,,,N,N,,,Y,,N,178,0,,0,0,0,0,N,,35,,4,+0,1,,,,,,,,,,,,,,,,,,,,08272927,61b73ecb8e8ea0001a3fd865,Primary,c51bda49d47744ff140dfd9dddc98d42,91333170099211d53f822d53d0f944b9
61bab492c595f30017cf1c36,Magic eyes Serious Juice Large-capacity version 360 ml,Magic eyes 本氣汁 大容量版 中黏度 600ml,,,Magic Eyes Serious Juice Hard 360 ml,Magic Eyes 本氣汁 大容量版 中黏度 600ml,"Brand: Magic EyesCountry: JapanReproduce the viscosity of the love juice secreted at excitement during the ovulation period, where women are most popular.Stubborn enough not to come out?Strongly sticky, do not release, viscosity i",日本Magic Eyes出品！無色無味低黏度潤滑油，能帶給您最自然的超順滑感覺，無特別添加成份呵護您最敏感的肌膚。,"Magic Eyes 本氣汁 大容量版 中黏度 600ml,Magic Eyes 本氣汁,Magic Eyes 本氣汁 大容量版,",N,N,,,Y,Magic Eyes,N,148,0,,0,0,0,0,N,,34.6,TOY-0503027,13,+0,1,,,,,,,,,,,,,,,,,,,,4571324241654,61bab492c595f30017cf1c3b,Primary,b3615e61439056e4c39ea6b936bb6977,c681af376cc93ab89f068bb8eefcc399
61bab624b156b2002fcebb70,FINGER SKIN DX G-4 Finger Condom,FINGER SKIN DX G-4 指險套,,,NPG Finger Skin DX G-4 Finger Condom,NPG Finger Skin DX G-4 指險套,"""Finger Skin DX"" is a fun finger cot that makes caressing more pleasurable!There are countless of hidden germs on our fingertips that cannot be seen by the naked eye. For example, scratches, cuts, sharp nails, and nail decorations",「Finger Skin DX」是一款讓愛撫更舒適的情趣手指套！指尖有許多看不見的病菌附著在指尖上。划痕、割傷、尖銳的指甲割傷、美甲裝飾品。觸摸各種東西的指尖看起來很漂亮，但實際上很不衛生。用這樣的指險套去觸碰嬌嫩的區域才是很衛生的。「Finger Skin DX」系列是一種乳膠手指套，可保護嬌嫩區域免受不衛生的指尖傷害。您可以在保持清潔的同時安心地享受手指撫摸。此外，它還帶有突起的矽球，讓您的性事變得更加「性」福和刺激！輕易打開就可以使用，是一款衛生、安,"Finger skin DX G4 finger condom, Finger Skin DX G-4 0.06mm 6 片裝乳膠指險套, KISS ME LOVE Finger Skin DX G-4 小圓球突點刺激指險套 6 片裝,",N,N,,,Y,NPG,N,80,0,,0,0,0,0,N,,0,21-HM-948,1,+0,1,,fff,,,,,,,,,,,,,,,,,21-HM-948,4560444119318,61bab624b156b2002fcebb75,Primary,f09f3f54b100e6c612ea878ba50699d1,f4d1c1aef8ede7e6448b04c29217c09a
